TF (regulator),Gene (target)
JUNB,MESDC2
ZSCAN2,MESDC2
TP63,MESDC2
ZNF143,MESDC2
AHCTF1,MESDC2
CENPA,MESDC2
LYAR,MESDC2
THAP6,MESDC2
ZNF320,MESDC2
FOSB,MESDC2
ZBTB38,MESDC2
ZNF683,MESDC2
HOPX,MESDC2
BATF,METTL25
BAZ2A,METTL25
JUNB,METTL25
ZSCAN2,METTL25
ID3,METTL25
SOX13,METTL25
LEF1,METTL25
LYAR,METTL25
FOS,METTL25
FOSB,METTL25
ATF6,METTL25
ZNF576,METTL25
MYBL1,METTL25
PLEK,METTL25
HOPX,METTL25
PURA,METTL4
JUN,METTL4
JUNB,METTL4
BBX,METTL4
MLXIP,METTL4
ZNF142,METTL4
ZNF155,METTL4
CEBPD,METTL4
ZNF264,METTL4
THAP6,METTL4
WDHD1,METTL4
FOXN2,METTL4
MYBL1,METTL4
ZNF684,METTL4
HOPX,METTL4
JUN,MICAL2
SNAI3,MICAL2
JUNB,MICAL2
ID2,MICAL2
CASZ1,MICAL2
ARID5B,MICAL2
CEBPD,MICAL2
LYAR,MICAL2
FOS,MICAL2
DNAJC1,MICAL2
FOXN2,MICAL2
MTA1,MICAL2
KLF6,MICAL2
GRHL1,MICAL2
MYSM1,MICAL2
BATF,MICALL1
JUN,MICALL1
JUNB,MICALL1
BBX,MICALL1
ZSCAN29,MICALL1
ID2,MICALL1
ARID5B,MICALL1
TCF12,MICALL1
CEBPD,MICALL1
LEF1,MICALL1
LYAR,MICALL1
FOSB,MICALL1
ATF6,MICALL1
ZNF576,MICALL1
HOPX,MICALL1
BATF,MIR155HG
JUN,MIR155HG
JUNB,MIR155HG
BBX,MIR155HG
ID2,MIR155HG
ARID2,MIR155HG
ZNF143,MIR155HG
LEF1,MIR155HG
ZNF264,MIR155HG
ZNF277,MIR155HG
LYAR,MIR155HG
NR4A1,MIR155HG
FOSB,MIR155HG
KLF6,MIR155HG
HOPX,MIR155HG
RUNX3,MLLT4
JUN,MLLT4
JUNB,MLLT4
BBX,MLLT4
ID2,MLLT4
CEBPD,MLLT4
LYAR,MLLT4
FOS,MLLT4
ASCL2,MLLT4
FOSB,MLLT4
ZNF470,MLLT4
DNAJC1,MLLT4
KLF6,MLLT4
PLEK,MLLT4
HOPX,MLLT4
BAZ2A,MLLT6
JUN,MLLT6
JUNB,MLLT6
ZSCAN2,MLLT6
ZNF143,MLLT6
ZNF155,MLLT6
CEBPD,MLLT6
AHCTF1,MLLT6
ZNF234,MLLT6
MAFG,MLLT6
FOXK1,MLLT6
FOXN2,MLLT6
KLF6,MLLT6
PLEK,MLLT6
MYSM1,MLLT6
JUN,MPND
JUNB,MPND
BBX,MPND
ID2,MPND
ID3,MPND
CEBPD,MPND
ZNF264,MPND
LYAR,MPND
FOS,MPND
ASCL2,MPND
ATF6,MPND
KLF6,MPND
PLEK,MPND
ZNF684,MPND
HOPX,MPND
JUN,MPST
JUNB,MPST
MLXIP,MPST
ZNF142,MPST
ZNF143,MPST
LEF1,MPST
LYAR,MPST
THAP6,MPST
ASCL2,MPST
FOSB,MPST
ATF6,MPST
KLF6,MPST
PLEK,MPST
ZNF683,MPST
HOPX,MPST
BATF,MRM1
BAZ2A,MRM1
ZNF805,MRM1
JUNB,MRM1
JUN,MRM1
BBX,MRM1
ID2,MRM1
CEBPD,MRM1
LYAR,MRM1
FOS,MRM1
ZNF501,MRM1
KLF6,MRM1
ZNF683,MRM1
HOPX,MRM1
ZNF737,MRM1
BATF,MROH1
JUN,MROH1
JUNB,MROH1
BBX,MROH1
ID2,MROH1
CEBPD,MROH1
LYAR,MROH1
FOS,MROH1
ASCL2,MROH1
FOSB,MROH1
FOXN2,MROH1
DNAJC1,MROH1
YEATS4,MROH1
ZNF684,MROH1
HOPX,MROH1
BAZ2A,MRPL9
JUN,MRPL9
JUNB,MRPL9
MLXIP,MRPL9
ZNF155,MRPL9
EPAS1,MRPL9
LYAR,MRPL9
FOS,MRPL9
ASCL2,MRPL9
FOXN2,MRPL9
SIM1,MRPL9
PKNOX1,MRPL9
ZNF562,MRPL9
PLEK,MRPL9
HMGB3,MRPL9
BATF,MRPS11
ZNF80,MRPS11
JUN,MRPS11
JUNB,MRPS11
ID2,MRPS11
ARID5B,MRPS11
ARNT,MRPS11
FOS,MRPS11
ASCL2,MRPS11
FOSB,MRPS11
DNAJC1,MRPS11
ZNF532,MRPS11
SIM1,MRPS11
ZNF683,MRPS11
HOPX,MRPS11
BAZ2A,MRPS26
JUN,MRPS26
BBX,MRPS26
JUNB,MRPS26
CASZ1,MRPS26
LEF1,MRPS26
AHCTF1,MRPS26
ZNF264,MRPS26
LYAR,MRPS26
ASCL2,MRPS26
KLF6,MRPS26
PLEK,MRPS26
ZNF683,MRPS26
MYSM1,MRPS26
HOPX,MRPS26
JUN,MRPS28
SNAI3,MRPS28
JUNB,MRPS28
MLXIP,MRPS28
ARID5B,MRPS28
TCF12,MRPS28
LYAR,MRPS28
FOS,MRPS28
FOXN2,MRPS28
KLF6,MRPS28
YEATS4,MRPS28
ZNF576,MRPS28
GABPA,MRPS28
ZNF683,MRPS28
MYSM1,MRPS28
PURA,MS4A6A
RUNX3,MS4A6A
JUN,MS4A6A
JUNB,MS4A6A
ZSCAN2,MS4A6A
ZFHX2,MS4A6A
BBX,MS4A6A
CEBPD,MS4A6A
ZNF264,MS4A6A
ZNF277,MS4A6A
MAFB,MS4A6A
DNAJC1,MS4A6A
KLF6,MS4A6A
GABPA,MS4A6A
HOPX,MS4A6A
ZNF773,MSI2
JUN,MSI2
JUNB,MSI2
ID2,MSI2
CASZ1,MSI2
TCF12,MSI2
AHCTF1,MSI2
LYAR,MSI2
FOS,MSI2
FOSB,MSI2
FOXK1,MSI2
ZNF320,MSI2
KLF6,MSI2
MYSM1,MSI2
HOPX,MSI2
PURA,MT-CO1
JUN,MT-CO1
JUNB,MT-CO1
ID2,MT-CO1
SOX13,MT-CO1
CEBPD,MT-CO1
LEF1,MT-CO1
AHCTF1,MT-CO1
LYAR,MT-CO1
FOS,MT-CO1
FOSB,MT-CO1
FOXK1,MT-CO1
KLF6,MT-CO1
PLEK,MT-CO1
HOPX,MT-CO1
PURA,MT-ND2
JUN,MT-ND2
JUNB,MT-ND2
BBX,MT-ND2
ID2,MT-ND2
CEBPD,MT-ND2
LEF1,MT-ND2
AHCTF1,MT-ND2
LYAR,MT-ND2
MAFG,MT-ND2
FOS,MT-ND2
MTA1,MT-ND2
KLF6,MT-ND2
PLEK,MT-ND2
HOPX,MT-ND2
RUNX3,MTBP
JUN,MTBP
JUNB,MTBP
BBX,MTBP
ID2,MTBP
CEBPD,MTBP
LYAR,MTBP
FOS,MTBP
ASCL2,MTBP
DNAJC1,MTBP
MTA1,MTBP
KLF6,MTBP
MYBL1,MTBP
ZNF683,MTBP
HOPX,MTBP
JUN,MTERFD2
JUNB,MTERFD2
ID2,MTERFD2
CASZ1,MTERFD2
ARID5B,MTERFD2
ZNF234,MTERFD2
LYAR,MTERFD2
ZNF277,MTERFD2
FOS,MTERFD2
ATF6,MTERFD2
KLF6,MTERFD2
PLEK,MTERFD2
GABPA,MTERFD2
HMGB3,MTERFD2
HOPX,MTERFD2
JUN,MTRNR2L8
JUNB,MTRNR2L8
BBX,MTRNR2L8
ID2,MTRNR2L8
ARID5B,MTRNR2L8
LEF1,MTRNR2L8
LYAR,MTRNR2L8
ZNF277,MTRNR2L8
FOS,MTRNR2L8
FOSB,MTRNR2L8
ATF6,MTRNR2L8
KLF6,MTRNR2L8
PKNOX1,MTRNR2L8
PLEK,MTRNR2L8
HOPX,MTRNR2L8
JUN,MTTP
SNAI3,MTTP
JUNB,MTTP
ID2,MTTP
ARID5B,MTTP
CEBPD,MTTP
LEF1,MTTP
LYAR,MTTP
FOS,MTTP
FOSB,MTTP
KLF6,MTTP
YEATS4,MTTP
PLEK,MTTP
ZNF683,MTTP
HOPX,MTTP
BAZ2A,MVB12B
JUN,MVB12B
SNAI3,MVB12B
JUNB,MVB12B
RUNX3,MVB12B
ID2,MVB12B
MLXIP,MVB12B
LYAR,MVB12B
ASCL2,MVB12B
FOSB,MVB12B
KLF6,MVB12B
PKNOX1,MVB12B
MYBL1,MVB12B
ZBTB34,MVB12B
ZBTB38,MVB12B
BATF,MXRA7
RUNX3,MXRA7
JUN,MXRA7
JUNB,MXRA7
ID2,MXRA7
ARID5B,MXRA7
LEF1,MXRA7
LYAR,MXRA7
ZNF277,MXRA7
ASCL2,MXRA7
DNAJC1,MXRA7
HIVEP3,MXRA7
KLF6,MXRA7
ZNF683,MXRA7
HOPX,MXRA7
ZNF80,MYO1F
JUN,MYO1F
JUNB,MYO1F
ID2,MYO1F
LEF1,MYO1F
LYAR,MYO1F
ASCL2,MYO1F
ZNF470,MYO1F
ATF6,MYO1F
KLF6,MYO1F
YEATS4,MYO1F
ZNF618,MYO1F
PLEK,MYO1F
ZNF683,MYO1F
HOPX,MYO1F
BAZ2A,NADK2
JUN,NADK2
JUNB,NADK2
ZSCAN2,NADK2
ID2,NADK2
AHCTF1,NADK2
ARNT,NADK2
FOS,NADK2
FOXN2,NADK2
ZBTB38,NADK2
KLF6,NADK2
MYBL1,NADK2
ZNF683,NADK2
HOPX,NADK2
ZNF737,NADK2
JUN,NAP1L3
JUNB,NAP1L3
BBX,NAP1L3
ID2,NAP1L3
SOX13,NAP1L3
MLXIP,NAP1L3
TCF12,NAP1L3
LEF1,NAP1L3
AHCTF1,NAP1L3
ZNF234,NAP1L3
LYAR,NAP1L3
DNAJC1,NAP1L3
KLF6,NAP1L3
PLEK,NAP1L3
HOPX,NAP1L3
BBX,NAP1L5
ID2,NAP1L5
ZNF142,NAP1L5
CASZ1,NAP1L5
AHCTF1,NAP1L5
ZNF234,NAP1L5
ZNF264,NAP1L5
ZNF277,NAP1L5
FOS,NAP1L5
FOXK1,NAP1L5
ZNF491,NAP1L5
KLF6,NAP1L5
ZNF618,NAP1L5
GABPA,NAP1L5
HOPX,NAP1L5
JUN,NAT8L
JUNB,NAT8L
BBX,NAT8L
ID2,NAT8L
ID3,NAT8L
ARID5B,NAT8L
LYAR,NAT8L
FOS,NAT8L
FOXN2,NAT8L
KLF6,NAT8L
YEATS4,NAT8L
MYBL1,NAT8L
PLEK,NAT8L
ZNF683,NAT8L
HOPX,NAT8L
BATF,NCAPH
ZNF80,NCAPH
JUN,NCAPH
JUNB,NCAPH
ID2,NCAPH
LYAR,NCAPH
FOS,NCAPH
ASCL2,NCAPH
DNAJC1,NCAPH
ATF6,NCAPH
KLF6,NCAPH
MYBL1,NCAPH
PLEK,NCAPH
ZNF683,NCAPH
HOPX,NCAPH
JUN,NCR3
JUNB,NCR3
ID2,NCR3
SOX13,NCR3
CEBPD,NCR3
LEF1,NCR3
AHCTF1,NCR3
LYAR,NCR3
MAFG,NCR3
FOSB,NCR3
DNAJC1,NCR3
FOS,NCR3
MYBL1,NCR3
ZNF683,NCR3
HOPX,NCR3
JUN,NCS1
JUNB,NCS1
BBX,NCS1
ID2,NCS1
CEBPD,NCS1
LEF1,NCS1
LYAR,NCS1
ZNF277,NCS1
FOS,NCS1
FOSB,NCS1
DNAJC1,NCS1
KLF6,NCS1
PLEK,NCS1
ZNF683,NCS1
HOPX,NCS1
BATF,NDUFA4L2
BAZ2A,NDUFA4L2
JUN,NDUFA4L2
JUNB,NDUFA4L2
BBX,NDUFA4L2
ID2,NDUFA4L2
CEBPD,NDUFA4L2
LEF1,NDUFA4L2
LYAR,NDUFA4L2
FOS,NDUFA4L2
DNAJC1,NDUFA4L2
KLF6,NDUFA4L2
MYBL1,NDUFA4L2
ZNF683,NDUFA4L2
HOPX,NDUFA4L2
BATF,NEAT1
RUNX3,NEAT1
PURA,NEAT1
JUNB,NEAT1
POU5F2,NEAT1
JUN,NEAT1
MLXIP,NEAT1
ID2,NEAT1
ARID2,NEAT1
CEBPD,NEAT1
AHCTF1,NEAT1
LYAR,NEAT1
FOS,NEAT1
ATF6,NEAT1
KLF6,NEAT1
JUN,NEURL2
JUNB,NEURL2
BBX,NEURL2
ID2,NEURL2
LEF1,NEURL2
LYAR,NEURL2
FOS,NEURL2
FOSB,NEURL2
DNAJC1,NEURL2
FOXN2,NEURL2
ZBTB38,NEURL2
KLF6,NEURL2
PLEK,NEURL2
MYSM1,NEURL2
HOPX,NEURL2
BAZ2A,NFKBIA
JUN,NFKBIA
JUNB,NFKBIA
RUNX3,NFKBIA
ID2,NFKBIA
SOX13,NFKBIA
CEBPD,NFKBIA
LEF1,NFKBIA
LYAR,NFKBIA
FOS,NFKBIA
FOSB,NFKBIA
MTA1,NFKBIA
KLF6,NFKBIA
ZNF683,NFKBIA
HOPX,NFKBIA
JUN,NIFK-AS1
JUNB,NIFK-AS1
ID2,NIFK-AS1
LEF1,NIFK-AS1
ZNF264,NIFK-AS1
ZNF277,NIFK-AS1
LYAR,NIFK-AS1
FOS,NIFK-AS1
ASCL2,NIFK-AS1
KLF6,NIFK-AS1
YEATS4,NIFK-AS1
MYBL1,NIFK-AS1
PLEK,NIFK-AS1
MYSM1,NIFK-AS1
HOPX,NIFK-AS1
BATF,NIPAL2
JUN,NIPAL2
SNAI3,NIPAL2
JUNB,NIPAL2
ID2,NIPAL2
ARID5B,NIPAL2
LEF1,NIPAL2
LYAR,NIPAL2
FOS,NIPAL2
ASCL2,NIPAL2
KLF6,NIPAL2
PKNOX1,NIPAL2
PLEK,NIPAL2
ZNF683,NIPAL2
HOPX,NIPAL2
BATF,NKG7
RUNX3,NKG7
JUN,NKG7
JUNB,NKG7
ID2,NKG7
ID3,NKG7
CEBPD,NKG7
LEF1,NKG7
LYAR,NKG7
FOS,NKG7
ASCL2,NKG7
DNAJC1,NKG7
PLEK,NKG7
ZNF683,NKG7
HOPX,NKG7
HOXA10,NOA1
BAZ2A,NOA1
JUN,NOA1
JUNB,NOA1
RUNX3,NOA1
BBX,NOA1
ID2,NOA1
AHCTF1,NOA1
ARNT,NOA1
LYAR,NOA1
FOS,NOA1
ZNF41,NOA1
ZNF576,NOA1
MYSM1,NOA1
ZNF710,NOA1
BAZ2A,NOL3
JUN,NOL3
JUNB,NOL3
ID2,NOL3
ID3,NOL3
CEBPD,NOL3
LYAR,NOL3
FOS,NOL3
FOXN2,NOL3
ZBTB38,NOL3
KLF6,NOL3
ZNF710,NOL3
MYBL1,NOL3
ZNF683,NOL3
HOPX,NOL3
BATF,NPPA-AS1
JUN,NPPA-AS1
JUNB,NPPA-AS1
ID2,NPPA-AS1
ARID2,NPPA-AS1
ARID5B,NPPA-AS1
CEBPD,NPPA-AS1
LEF1,NPPA-AS1
LYAR,NPPA-AS1
FOS,NPPA-AS1
MTA1,NPPA-AS1
KLF6,NPPA-AS1
YEATS4,NPPA-AS1
PLEK,NPPA-AS1
HOPX,NPPA-AS1
BATF,NPPC
JUN,NPPC
JUNB,NPPC
BBX,NPPC
ID2,NPPC
MLXIP,NPPC
CEBPD,NPPC
LEF1,NPPC
LYAR,NPPC
FOS,NPPC
FOXN2,NPPC
KLF6,NPPC
PLEK,NPPC
ZNF683,NPPC
HOPX,NPPC
JUN,NR2C2AP
JUNB,NR2C2AP
ID2,NR2C2AP
CASZ1,NR2C2AP
ARID5B,NR2C2AP
TCF12,NR2C2AP
ZNF234,NR2C2AP
ZNF277,NR2C2AP
FOS,NR2C2AP
ZNF41,NR2C2AP
FOXK1,NR2C2AP
KLF6,NR2C2AP
PLEK,NR2C2AP
HMGB3,NR2C2AP
HOPX,NR2C2AP
BATF,NRGN
BBX,NRGN
JUNB,NRGN
ZSCAN2,NRGN
ID2,NRGN
ARID5B,NRGN
ZNF264,NRGN
ZNF277,NRGN
FOS,NRGN
ASCL2,NRGN
FOXK1,NRGN
ZBTB38,NRGN
KLF6,NRGN
PLEK,NRGN
ZNF710,NRGN
BATF,NRIP3
BAZ2A,NRIP3
JUN,NRIP3
JUNB,NRIP3
BBX,NRIP3
ID2,NRIP3
ARID5B,NRIP3
CEBPD,NRIP3
LEF1,NRIP3
LYAR,NRIP3
FOS,NRIP3
DNAJC1,NRIP3
FOXN2,NRIP3
KLF6,NRIP3
HOPX,NRIP3
ZNF773,NUP153
BAZ2A,NUP153
JUN,NUP153
JUNB,NUP153
BBX,NUP153
ID2,NUP153
ZNF142,NUP153
EPAS1,NUP153
LYAR,NUP153
ZNF277,NUP153
NR4A1,NUP153
ZNF41,NUP153
KLF6,NUP153
ZNF562,NUP153
HOPX,NUP153
BATF,NUP155
JUN,NUP155
JUNB,NUP155
ID2,NUP155
AHCTF1,NUP155
LYAR,NUP155
ZNF277,NUP155
THAP6,NUP155
FOS,NUP155
DNAJC1,NUP155
ZNF470,NUP155
KLF6,NUP155
PLEK,NUP155
ZNF683,NUP155
HOPX,NUP155
BATF,NXPH4
JUN,NXPH4
JUNB,NXPH4
BBX,NXPH4
ID2,NXPH4
ARID5B,NXPH4
LEF1,NXPH4
LYAR,NXPH4
FOS,NXPH4
FOSB,NXPH4
DNAJC1,NXPH4
KLF6,NXPH4
PLEK,NXPH4
ZNF683,NXPH4
HOPX,NXPH4
BATF,OASL
JUN,OASL
JUNB,OASL
BBX,OASL
MLXIP,OASL
ARNT,OASL
LYAR,OASL
FOS,OASL
ASCL2,OASL
ZNF470,OASL
ZBTB38,OASL
YEATS4,OASL
ZNF683,OASL
ZNF684,OASL
HOPX,OASL
RUNX3,OCRL
JUN,OCRL
JUNB,OCRL
ID2,OCRL
CEBPD,OCRL
LEF1,OCRL
LYAR,OCRL
FOS,OCRL
DNAJC1,OCRL
FOXN2,OCRL
KLF6,OCRL
YEATS4,OCRL
PLEK,OCRL
ZNF683,OCRL
HOPX,OCRL
BATF,OOEP
JUN,OOEP
JUNB,OOEP
BBX,OOEP
ID2,OOEP
LEF1,OOEP
LYAR,OOEP
FOS,OOEP
FOSB,OOEP
DNAJC1,OOEP
MTA1,OOEP
MYBL1,OOEP
PLEK,OOEP
ZNF683,OOEP
HOPX,OOEP
JUN,ORC5
JUNB,ORC5
ID2,ORC5
ID3,ORC5
LYAR,ORC5
FOS,ORC5
FOSB,ORC5
DNAJC1,ORC5
HIVEP3,ORC5
FOXN2,ORC5
KLF6,ORC5
ZNF562,ORC5
PLEK,ORC5
ZNF683,ORC5
HOPX,ORC5
BATF,OXCT2
PURA,OXCT2
JUN,OXCT2
JUNB,OXCT2
ID2,OXCT2
CEBPD,OXCT2
LEF1,OXCT2
LYAR,OXCT2
FOS,OXCT2
DNAJC1,OXCT2
ZBTB38,OXCT2
KLF6,OXCT2
PLEK,OXCT2
ZNF683,OXCT2
HOPX,OXCT2
PURA,OXTR
JUN,OXTR
JUNB,OXTR
BBX,OXTR
ID2,OXTR
CEBPD,OXTR
LEF1,OXTR
LYAR,OXTR
ZNF277,OXTR
FOS,OXTR
DNAJC1,OXTR
KLF6,OXTR
PLEK,OXTR
ZNF683,OXTR
HOPX,OXTR
JUN,PACSIN3
JUNB,PACSIN3
BBX,PACSIN3
ID2,PACSIN3
CEBPD,PACSIN3
LEF1,PACSIN3
LYAR,PACSIN3
ZNF277,PACSIN3
FOS,PACSIN3
DNAJC1,PACSIN3
KLF6,PACSIN3
MYBL1,PACSIN3
PLEK,PACSIN3
ZNF683,PACSIN3
HOPX,PACSIN3
BATF,PAFAH1B2
PURA,PAFAH1B2
JUN,PAFAH1B2
JUNB,PAFAH1B2
SNAI3,PAFAH1B2
BBX,PAFAH1B2
ZNF142,PAFAH1B2
ZNF143,PAFAH1B2
TCF12,PAFAH1B2
LEF1,PAFAH1B2
LYAR,PAFAH1B2
ZNF277,PAFAH1B2
MTA1,PAFAH1B2
KLF6,PAFAH1B2
ZNF547,PAFAH1B2
ZNF805,PAK4
JUNB,PAK4
ZSCAN2,PAK4
ZSCAN29,PAK4
ID2,PAK4
JUN,PAK4
BBX,PAK4
CEBPD,PAK4
LYAR,PAK4
FOS,PAK4
KLF6,PAK4
MYBL1,PAK4
PLEK,PAK4
ZNF683,PAK4
HOPX,PAK4
BAZ2A,PALLD
JUN,PALLD
JUNB,PALLD
LEF1,PALLD
LYAR,PALLD
ZNF277,PALLD
FOS,PALLD
ASCL2,PALLD
FOSB,PALLD
ZBTB38,PALLD
KLF6,PALLD
MYBL1,PALLD
PLEK,PALLD
ZNF683,PALLD
HOPX,PALLD
BATF,PAPL
JUN,PAPL
SNAI3,PAPL
JUNB,PAPL
BBX,PAPL
ID2,PAPL
LEF1,PAPL
LYAR,PAPL
ZNF277,PAPL
FOS,PAPL
DNAJC1,PAPL
KLF6,PAPL
PLEK,PAPL
ZNF683,PAPL
HOPX,PAPL
RUNX3,PARP1
JUN,PARP1
JUNB,PARP1
ZFHX3,PARP1
ZNF264,PARP1
ZNF277,PARP1
LYAR,PARP1
FOS,PARP1
ASCL2,PARP1
ZNF491,PARP1
ZNF501,PARP1
KLF6,PARP1
PLEK,PARP1
ZNF683,PARP1
HOPX,PARP1
BATF,PARPBP
BAZ2A,PARPBP
RUNX3,PARPBP
SNAI3,PARPBP
ZFHX3,PARPBP
PURA,PARPBP
ID2,PARPBP
JUNB,PARPBP
JUN,PARPBP
BBX,PARPBP
LEF1,PARPBP
LYAR,PARPBP
FOSB,PARPBP
FOXK1,PARPBP
ZNF737,PARPBP
ZNF80,PARS2
JUNB,PARS2
ID2,PARS2
CEBPD,PARS2
ZNF233,PARS2
LYAR,PARS2
THAP6,PARS2
FOS,PARS2
DNAJC1,PARS2
MTA1,PARS2
ATF6,PARS2
KLF6,PARS2
PLEK,PARS2
ZNF683,PARS2
HOPX,PARS2
BATF,PASK
E2F5,PASK
JUN,PASK
JUNB,PASK
ARID5B,PASK
CEBPD,PASK
LEF1,PASK
ZNF233,PASK
LYAR,PASK
FOS,PASK
FOSB,PASK
KLF6,PASK
PLEK,PASK
ZNF683,PASK
HOPX,PASK
BATF,PATL2
JUN,PATL2
JUNB,PATL2
ZSCAN2,PATL2
ID2,PATL2
ZNF142,PATL2
SOX13,PATL2
ARNT,PATL2
EPAS1,PATL2
LYAR,PATL2
FOS,PATL2
ASCL2,PATL2
PLEK,PATL2
ZNF683,PATL2
HOPX,PATL2
BATF,PCAT1
JUN,PCAT1
JUNB,PCAT1
BBX,PCAT1
ID2,PCAT1
ID3,PCAT1
ARID5B,PCAT1
CEBPD,PCAT1
LEF1,PCAT1
FOS,PCAT1
ZNF41,PCAT1
KLF6,PCAT1
YEATS4,PCAT1
ZNF562,PCAT1
HOPX,PCAT1
RUNX3,PCF11
JUN,PCF11
JUNB,PCF11
PLEK,PCF11
ID2,PCF11
SOX13,PCF11
ZNF264,PCF11
LYAR,PCF11
FOXK1,PCF11
HIVEP3,PCF11
FOXN2,PCF11
KLF6,PCF11
YEATS4,PCF11
MYBL1,PCF11
GABPA,PCF11
JUN,PDCD7
MIXL1,PDCD7
JUNB,PDCD7
ID2,PDCD7
SOX13,PDCD7
ARID5B,PDCD7
SATB2,PDCD7
CEBPD,PDCD7
LYAR,PDCD7
FOS,PDCD7
NR4A1,PDCD7
YEATS4,PDCD7
ZNF576,PDCD7
ZBTB34,PDCD7
HOPX,PDCD7
JUN,PDGFA
JUNB,PDGFA
ID2,PDGFA
ARID5B,PDGFA
CEBPD,PDGFA
LEF1,PDGFA
LYAR,PDGFA
FOS,PDGFA
ASCL2,PDGFA
FOSB,PDGFA
DNAJC1,PDGFA
KLF6,PDGFA
PLEK,PDGFA
ZNF683,PDGFA
HOPX,PDGFA
RUNX3,PDRG1
JUN,PDRG1
SNAI3,PDRG1
ZSCAN2,PDRG1
JUNB,PDRG1
ID2,PDRG1
BBX,PDRG1
ZNF143,PDRG1
LYAR,PDRG1
FOS,PDRG1
ATF6,PDRG1
YEATS4,PDRG1
MYBL1,PDRG1
PLEK,PDRG1
ZNF683,PDRG1
JUN,PDZD2
JUNB,PDZD2
BBX,PDZD2
ID2,PDZD2
CEBPD,PDZD2
LEF1,PDZD2
LYAR,PDZD2
FOS,PDZD2
ASCL2,PDZD2
FOSB,PDZD2
DNAJC1,PDZD2
KLF6,PDZD2
PLEK,PDZD2
ZNF683,PDZD2
HOPX,PDZD2
JUN,PEBP4
JUNB,PEBP4
BBX,PEBP4
ID2,PEBP4
LEF1,PEBP4
LYAR,PEBP4
FOS,PEBP4
ASCL2,PEBP4
FOSB,PEBP4
ZNF501,PEBP4
KLF6,PEBP4
MYBL1,PEBP4
PLEK,PEBP4
ZNF683,PEBP4
HOPX,PEBP4
BATF,PF4
PURA,PF4
HOPX,PF4
ZSCAN2,PF4
ID2,PF4
LEF1,PF4
ARNT,PF4
ZNF264,PF4
LYAR,PF4
FOS,PF4
FOXK1,PF4
FOXN2,PF4
KLF6,PF4
PLEK,PF4
ZNF710,PF4
BAZ2A,PGRMC2
JUN,PGRMC2
JUNB,PGRMC2
E2F5,PGRMC2
RUNX3,PGRMC2
ID2,PGRMC2
ID3,PGRMC2
LEF1,PGRMC2
ARNT,PGRMC2
FOS,PGRMC2
DNAJC1,PGRMC2
ZNF501,PGRMC2
KLF6,PGRMC2
MYBL1,PGRMC2
HOPX,PGRMC2
RUNX3,PHF20
JUN,PHF20
JUNB,PHF20
BBX,PHF20
ID2,PHF20
ZSCAN31,PHF20
LYAR,PHF20
THAP6,PHF20
FOS,PHF20
FOSB,PHF20
KLF6,PHF20
ZNF547,PHF20
PLEK,PHF20
MYSM1,PHF20
ZNF710,PHF20
BATF,PHLDA3
RUNX3,PHLDA3
JUN,PHLDA3
JUNB,PHLDA3
ZFHX3,PHLDA3
BBX,PHLDA3
ID2,PHLDA3
CEBPD,PHLDA3
LEF1,PHLDA3
LYAR,PHLDA3
FOS,PHLDA3
KLF6,PHLDA3
MYBL1,PHLDA3
PLEK,PHLDA3
HOPX,PHLDA3
ZNF773,PIGU
RUNX3,PIGU
JUN,PIGU
JUNB,PIGU
BBX,PIGU
ID2,PIGU
ID3,PIGU
ZNF234,PIGU
CENPA,PIGU
THAP6,PIGU
FOS,PIGU
ZNF532,PIGU
ZNF547,PIGU
MYBL1,PIGU
HOPX,PIGU
JUN,PIGW
JUNB,PIGW
ZFHX3,PIGW
BBX,PIGW
ID2,PIGW
ARID2,PIGW
TBX6,PIGW
ARID5B,PIGW
ZNF277,PIGW
FOSB,PIGW
DNAJC1,PIGW
MTA1,PIGW
KLF6,PIGW
YEATS4,PIGW
HOPX,PIGW
BATF,PINLYP
BAZ2A,PINLYP
BBX,PINLYP
JUNB,PINLYP
ARID5B,PINLYP
CEBPD,PINLYP
AHCTF1,PINLYP
LYAR,PINLYP
FOS,PINLYP
ASCL2,PINLYP
DNAJC1,PINLYP
MTA1,PINLYP
ZBTB38,PINLYP
PLEK,PINLYP
HOPX,PINLYP
BATF,PKD2
JUN,PKD2
JUNB,PKD2
BBX,PKD2
ID2,PKD2
CEBPD,PKD2
ASCL2,PKD2
FOSB,PKD2
DNAJC1,PKD2
ATF6,PKD2
ZNF501,PKD2
KLF6,PKD2
PLEK,PKD2
GABPA,PKD2
ZNF683,PKD2
BATF,PKN3
JUN,PKN3
JUNB,PKN3
POU5F2,PKN3
ID2,PKN3
ARID2,PKN3
TBX6,PKN3
CEBPD,PKN3
LYAR,PKN3
FOS,PKN3
ASCL2,PKN3
DNAJC1,PKN3
KLF6,PKN3
PLEK,PKN3
HOPX,PKN3
RUNX3,PLA2G16
JUN,PLA2G16
JUNB,PLA2G16
ZSCAN29,PLA2G16
ID2,PLA2G16
LEF1,PLA2G16
ZNF233,PLA2G16
LYAR,PLA2G16
ZNF320,PLA2G16
ASCL2,PLA2G16
DNAJC1,PLA2G16
FOXN2,PLA2G16
PLEK,PLA2G16
ZNF683,PLA2G16
HOPX,PLA2G16
JUN,PLAUR
SNAI3,PLAUR
ZNF805,PLAUR
JUNB,PLAUR
ID2,PLAUR
